Facility_ID,Hospital_ID,Hospital_Type,Hospital_Type_Code,Hospital_Name,Address,Hospital_Contact,State_Code,District_Code,Speciality_Code,Emplaned_Date,Hospital_Latitude,Hospital_Longitude,SchemeCode
HOSP6P03725,603725,Hospital,P,Vijay Hospital,OPP. BUS stand  Narnaul,9467499202,6,69,"100007,100010,100014,100016,100017,100023,100026",,28.05302,76.1135,PMJAY
HOSP24P136114,24136114,Hospital,P,KHYATI MULTISPECIALITY HOSPITAL,"S.NO. 235/2, B/S TATA MOTORS SHOWROOM, OPPOSITE RAJPATH CLUB, S.G. HIGHWAY,BODAKDEV, AHMEDABAD",7208411965,24,438,"100002,100003,100005,100006,100011,100015,100020,100023",2022-03-31 11:03:46,23.036754,72.5116550000001,PMJAY
